section,key,zh,english
preferences,launch_race_remaster,启动 Race Remaster,Launch Race Remaster
preferences,pcars32_launch_params,pCARS 32 位启动参数,pCARS 32bit launch params
preferences,pcars64_launch_params,pCARS 64 位启动参数,pCARS 64bit launch params
preferences,rf1_launch_params,rF1 启动参数,rF1 launch params
preferences,rf2_launch_params,rF2 启动参数,rF2 launch params
preferences,lmu_launch_params,LMU 启动参数,LMU launch params
preferences,gsc_launch_params,GSC 启动参数,GSC launch params
preferences,ams_launch_params,AMS 启动参数,AMS launch params
preferences,acs_launch_params,ACS 启动参数,ACS launch params
preferences,ace_launch_params,AC EVO 启动参数,AC Evo launch params
preferences,marcas_launch_params,Marcas 启动参数,Marcas launch params
preferences,ftruck_launch_params,FTruck 启动参数,FTruck launch params
preferences,f1_2018_launch_params,F1 2018 启动参数,F1 2018 launch params
preferences,f1_2019_launch_params,F1 2019 启动参数,F1 2019 launch params
preferences,f1_2020_launch_params,F1 2020 启动参数,F1 2020 launch params
preferences,f1_2021_launch_params,F1 2021 启动参数,F1 2021 launch params
preferences,f1_2022_launch_params,F1 2022 启动参数,F1 2022 launch params
preferences,f1_2023_launch_params,F1 2023 启动参数,F1 2023 launch params
preferences,r3e_launch_exe,R3E 启动程序,R3E launch exe
preferences,rbr_launch_exe,RBR 启动程序,RBR launch exe
preferences,gtr2_launch_exe,GTR 2 启动程序,GTR 2 launch exe
preferences,dirt_launch_exe,Dirt Rally 启动程序,Dirt Rally launch exe
preferences,dirt_launch_params,Dirt Rally 启动参数,Dirt Rally launch params
preferences,dirt2_launch_exe,Dirt Rally 2 启动程序,Dirt Rally 2 launch exe
preferences,dirt2_launch_params,Dirt Rally 2 启动参数,Dirt Rally 2 launch params
preferences,acc_launch_exe,ACC 启动程序,ACC launch exe
preferences,rf1_launch_exe,rF1 启动程序,rF1 launch exe
preferences,asr_launch_exe,ASR 启动程序,ASR launch exe
preferences,rf2_launch_exe,rF2 启动程序,rF2 launch exe
preferences,lmu_launch_exe,LMU 启动程序,LMU launch exe
preferences,gsc_launch_exe,启动 GSC 程序,GSC launch exe
preferences,ams_launch_exe,AMS 启动程序,AMS launch exe
preferences,acs_launch_exe,ACS 启动程序,ACS launch exe
preferences,ace_launch_exe,AC EVO 启动程序,AC EVO launch exe
preferences,marcas_launch_exe,MarCAS 启动程序,Marcas launch exe
preferences,ftruck_launch_exe,FTruck 启动程序,FTruck launch exe
preferences,pcars32_launch_exe,pCARS 32 位启动程序,pCARS 32bit launch exe
preferences,pcars64_launch_exe,pCARS 64 位启动程序,pCARS 64bit launch exe
preferences,f1_2018_launch_exe,F1 2018 启动程序,F1 2018 launch exe
preferences,f1_2019_launch_exe,F1 2019 启动程序,F1 2019 launch exe
preferences,f1_2020_launch_exe,F1 2020 启动程序,F1 2020 launch exe
preferences,f1_2021_launch_exe,F1 2021 启动程序,F1 2021 launch exe
preferences,f1_2022_launch_exe,F1 2022 启动程序,F1 2022 launch exe
preferences,f1_2023_launch_exe,F1 2023 启动程序,F1 2023 launch exe
preferences,launch_rfactor1,启动 rFactor 1,Launch rFactor 1
preferences,launch_asr,启动 ASR,Launch ASR
preferences,launch_rfactor2,启动 rFactor 2,Launch rFactor 2
preferences,launch_lmu,启动 LMU,Launch LMU
preferences,launch_rbr,启动 RBR,Launch RBR
preferences,launch_gtr2,启动 GTR 2,Launch GTR 2
preferences,launch_dirt,启动 Dirt Rally,Launch Dirt Rally
preferences,launch_dirt2,启动 Dirt Rally 2,Launch Dirt Rally 2
preferences,launch_gsc,启动 GSC,Launch GSC
preferences,launch_f1_2018,启动 F1 2018,Launch F1 2018
preferences,launch_f1_2019,启动 F1 2019,Launch F1 2019
preferences,launch_f1_2020,启动 F1 2020,Launch F1 2020
preferences,launch_f1_2021,启动 F1 2021,Launch F1 2021
preferences,launch_f1_2022,启动 F1 2022,Launch F1 2022
preferences,launch_f1_2023,启动 F1 2023,Launch F1 2023
preferences,launch_ams,启动 AMS,Launch AMS
preferences,launch_marcas,启动 Marcas,Launch Marcas
preferences,launch_ftruck,启动 FTruck,Launch FTruck
preferences,launch_pcars,启动 pCARS,Launch pCARS
preferences,launch_acc,启动 ACC,Launch ACC
preferences,pcars2_launch_exe,pCARS 2 启动程序,pCARS 2 launch exe
preferences,pcars3_launch_exe,pCARS 3 启动程序,pCARS 3 launch exe
preferences,pcars2_launch_params,pCARS 2 启动参数,pCARS 2 launch params
preferences,pcars3_launch_params,pCARS 3 启动参数,pCARS 3 launch params
preferences,ams2_launch_exe,AMS2 启动程序,AMS 2 launch exe
preferences,ams2_launch_params,AMS2 启动参数,AMS 2 launch params
preferences,acc_launch_params,ACC 启动参数,ACC launch params
preferences,launch_pcars2,启动 pCARS 2,Launch pCARS 2
preferences,launch_pcars3,启动 pCARS 3,Launch pCARS 3
preferences,launch_ams2,启动 AMS2,Launch AMS 2
preferences,iracing_launch_exe,iRacing 启动程序,iRacing launch exe
preferences,iracing_launch_params,iRacing 启动参数,iRacing launch params
preferences,launch_iracing,启动 iRacing,Launch iRacing
preferences,run_immediately,立即运行,Run immediately
preferences,pcars_steam_id,pCARS Steam app ID,pCARS Steam ID
preferences,cumulative_lap_lockup_warning_threshold,累计圈数刹车抱死提醒阈值,Cumulative lap lockup warning threshold
preferences,cumulative_lap_wheelspin_warning_threshold,累计圈数打滑提醒阈值,Cumulative lap wheelspin warning threshold
preferences,minimum_name_voice_recognition_confidence,最小车手名语音识别置信度（Microsoft 识别引擎）,Min name voice recognition confidence (Microsoft recogniser)
preferences,minimum_name_voice_recognition_confidence_system_sre,最小车手名语音识别置信度（Windows 识别引擎）,Min name voice recognition confidence (Windows recogniser)
preferences,minimum_voice_recognition_confidence,最小语音识别置信度（Microsoft 识别引擎）,Min voice recognition confidence (Microsoft recogniser)
preferences,minimum_voice_recognition_confidence_system_sre,最小语音识别置信度（Windows 识别引擎）,Min voice recognition confidence (Windows recogniser)
preferences,display_session_lap_times,显示场次圈速,Display session lap times
preferences,enable_opponent_laptime_reporting_in_race,启用正赛中的对手圈速播报,Enable opponent lap time reporting in race
preferences,report_sector_deltas_race,播报正赛分段时间差,Report race sector deltas
preferences,report_sector_deltas_race_likelihood,播报正赛分段差距概率,Report race sector deltas likelihood
preferences,report_sector_deltas_practice_and_qual,播报练习和排位分段差距,Report practice and qual sector deltas
preferences,frequency_of_overtaking_messages,超车播报频率,Frequency of overtaking messages
preferences,frequency_of_being_overtaken_messages,被超车播报频率,Frequency of being overtaken messages
preferences,frequency_of_gap_ahead_reports,前方差距播报频率,Frequency of gap ahead reports
preferences,frequency_of_gap_behind_reports,后方差距播报频率,Frequency of gap behind reports
preferences,frequency_of_gap_behind_on_track_reports,赛道上后方差距播报频率,Frequency of gap behind on track reports
preferences,frequency_of_opponent_race_lap_times,对手正赛圈速频率,Frequency of opponent race lap times
preferences,frequency_of_opponent_practice_and_qual_lap_times,对手练习圈和排位圈时间的频率,Frequency of opponent practice and quali lap times
preferences,seconds_to_announce_next_car,播报新对手的时间间隔,Time between announcing new opponent
preferences,minutes_to_announce_same_next_car,播报前方同一对手的时间间隔,Time between announcing the same opponent ahead
preferences,opponents_number_after_name,对手以名称和编号识别,Opponents identified by name and number
preferences,frequency_of_pearls_of_wisdom,金句播报频率,Frequency of pearls of wisdom
preferences,frequency_of_player_race_lap_time_reports,播报玩家正赛圈速的频率,Frequency of player race lap time reports
preferences,frequency_of_player_prac_and_qual_lap_time_reports,播报练习和排位圈速的频率,Freq of player prac and qual lap time reports
preferences,frequency_of_prac_and_qual_sector_delta_reports,练习和排位分段差距播报频率,Frequency of player prac and qual sector delta reports
preferences,frequency_of_race_sector_delta_reports,正赛分段差距播报频率,Frequency of race sector delta reports
preferences,race_sector_reports_at_each_sector,每分段播报,Race sector reports at each sector
preferences,race_sector_reports_at_lap_end,圈末分段播报,Race sector reports at lap end
preferences,practice_and_qual_sector_reports_at_each_sector,练习和排位分段播报，每分段,Prac and qual sector reports at each sector
preferences,practice_and_qual_sector_reports_at_lap_end,练习和排位分段播报在圈尾,Prac and qual sector reports at lap end
preferences,iracing_reputations,声誉播报,Reputation Messages
preferences,iracing_reputations_flair_bad,旗语声誉（差）,Flag Reputations (bad)
preferences,iracing_reputations_flair_good,旗语声誉（良好）,Flag Reputations (good)
preferences,iracing_reputations_ratings,iRating 评分（绝对值）,iRating Reputation (Absolute)
preferences,iracing_reputations_division,分区声誉（绝对）,Division Reputation (Absolute)
preferences,iracing_reputations_safety,安全声誉（相对）,Safety Reputation (Relative)
preferences,enable_opponent_rating_info,启用对手评分信息,Enable Opponent rating info
preferences,ambient_temp_check_interval_seconds,环境温度检查间隔（秒）,Ambient temp check interval seconds
preferences,track_temp_check_interval_seconds,赛道温度检查间隔秒,Track temp check interval seconds
preferences,report_ambient_temp_changes_greater_than,播报环境温度变化超过,Report ambient temp changes greater than
preferences,report_track_temp_changes_greater_than,播报赛道温度变化大于,Report track temp changes greater than
preferences,pause_between_messages,播报间隔,Pause between messages
preferences,pause_between_message_fragments,播报片段之间暂停（毫秒）,Pause between message fragments (ms)
preferences,load_sound_files_on_startup,启动时加载语音文件,Load sound files on startup
preferences,enable_automatic_plugin_update,启动时更新游戏插件,Update game plugins on startup
preferences,pcars_character_encoding,pCARS 字符编码,pCARS character encoding
preferences,ams2_character_encoding,AMS2 字符编码,AMS2 character encoding
preferences,enable_pcars_pit_window_messages,启用 pCARS 进站窗口播报,Enable pCARS pit window messages
preferences,report_yellows_in_all_sectors,播报所有分段的黄旗,Report yellows in all sectors
preferences,max_distance_moved_for_yellow_announcement,最大黄旗播报移动距离,Max distance moved for yellow announcement
preferences,min_secs_for_debris_flag,播报碎片旗之间的最短时间,Minimum time between announcing a debris flag.
preferences,enable_delayed_responses,启用延迟语音指令响应,Enable delayed voice command responses
preferences,enable_console_logging,启用控制台日志,Enable console logging
preferences,console_font_size,设置控制台字体大小,Set console font size
preferences,console_flush,持续将控制台日志写入磁盘,Continuously write the console log to disc
preferences,log_tyre_stats,轮胎统计日志,Log tyre stats
preferences,r3e_blue_flag_detection_distance,R3E 蓝旗判定距离,R3E blue flag detection distance
preferences,play_pre_lights_messages_until_cancelled,播放起步灯播报直至取消,Play pre-lights messages until cancelled
preferences,time_between_caution_period_status_reminders,黄旗时段状态提醒间隔,Time between caution period status reminders
preferences,enable_ams_pit_schedule_messages,启用 AMS 进站计划播报,Enable AMS pit schedule messages
preferences,report_allowed_overtakes_under_yellow,播报黄旗下的超车许可,Report allowed overtakes under yellow
preferences,iracing_override_luckydog,覆盖 iRacing lucky dog 遥测,override iRacing lucky dog telemetry
preferences,iracing_disable_luckydog,禁用 iRacing lucky dog 播报,disable iRacing lucky dog calls
preferences,enable_rf2_pit_stop_prediction,启用 rF2 进站预测,Enable rF2 pit stop prediction
preferences,enable_lmu_pit_stop_prediction,启用 LMU 进站预测,Enable LMU pit stop prediction
preferences,enable_gtr2_pit_stop_prediction,启用 GTR 2 进站预测,Enable GTR 2 pit stop prediction
preferences,enable_simple_incident_detection_listprop,启用简单事件判定,Enable simple incident detection
preferences,enable_simple_incident_detection_listprop_value_0,禁用,Disabled
preferences,enable_simple_incident_detection_listprop_value_1,仅比赛,Race Only
preferences,enable_simple_incident_detection_listprop_value_2,所有场次,All Sessions
preferences,simple_incident_detection_report_delay,简单事件检测延迟（毫秒）,Simple incident detection delay (ms)
preferences,enable_yellow_flag_messages,启用黄旗播报,Enable yellow flag messages
preferences,enable_opponent_crash_messages,启用对手碰撞播报,Enable opponent crash messages
preferences,prefer_alternative_download_site,优先使用备用下载站点,Prefer alternative download site
preferences,iracing_sof_playerclass,iRacing 实力值按玩家组别计算,iRacing Strength of Field is for the player class
preferences,use_american_terms,使用美式术语,Use American terms
preferences,use_metric,使用公制,Use metric
preferences,iracing_overrides_units,iRacing 单位覆盖,iRacing overrides units
preferences,realistic_mode,真实模式,Realistic mode
preferences,always_report_time_in_hundredths,圈速始终播报到百分位,Always report time in hundredths
preferences,no_minutes_in_lap_times,不播报圈速中的分钟,Don't report minutes in lap times
preferences,insert_beep_in_between_spotter_and_chief,在观察员与工程师之间插入进入提示音,Insert beep-in between Spotter and Chief
preferences,insert_beep_out_between_spotter_and_chief,在观察员与工程师之间插入结束提示音,Insert beep-out between Spotter and Chief
preferences,minimize_to_tray,最小化到托盘,Minimize to tray
preferences,minimize_on_startup,启动时最小化,Minimize on startup
preferences,manual_formation_go_with_leader,领头车过线时手动发出编队圈「出发」,Manual formation 'go' when leader crosses line
preferences,reject_message_when_talking,与工程师说话时暂停播报,Block messages when talking to the Chief
preferences,enable_rf2_frozen_order_messages,启用 rF2 冻结顺序播报,Enable rF2 frozen order messages
preferences,enable_rf2_cut_track_heuristics,rF2 切赛道判定,Extra cut track detection for rF2
preferences,enable_lmu_frozen_order_messages,启用 LMU 冻结顺序播报,Enable LMU frozen order messages
preferences,enable_lmu_cut_track_heuristics,额外的切赛道判定（适用于 LMU）,Extra cut track detection for LMU
preferences,enable_gtr2_cut_track_heuristics,额外的 GTR 2 切赛道判定,Extra cut track detection for GTR 2
preferences,enable_rf2_pit_lane_approach_heuristics,启用 rF2 维修道接近判定,Enable rF2 pit lane approach detection
preferences,enable_lmu_pit_lane_approach_heuristics,启用 LMU 维修道接近判定,Enable LMU pit lane approach detection
preferences,enable_command_macros,启用语音指令宏,Enable voice command macros
preferences,pcars_enable_rain_prediction,启用 pCARS 雨预测（使用 CloudBrightness）,Enable PCars rain prediction using CloudBrightness
preferences,disable_alternative_voice_commands,禁用备用语音指令,Disable alternative voice commands
preferences,use_verbose_responses,使用详细命令响应,Use verbose command responses
preferences,toggle_pace_notes_recording,开始/停止记录路书,Start / stop recording pace notes
preferences,toggle_pace_notes_playback,开始/停止播放路书,Start / stop playing pace notes
preferences,use_naudio,使用 nAudio 播放,Use nAudio for playback
preferences,toggle_track_landmarks_recording,开始/停止赛道地标记录,Start / stop track landmarks recording
preferences,add_track_landmark,添加起点/终点赛道地标,Add Start / end track landmark
preferences,tts_volume_boost,语音合成音量增强（范围）,TTS volume boost (scale)
preferences,tts_trim_start_milliseconds,语音合成声音起始修剪（毫秒）,Trim start of TTS sounds (milliseconds)
preferences,tts_trim_end_milliseconds,语音合成结尾修剪（毫秒）,Trim end of TTS sounds (milliseconds)
preferences,iracing_pit_tyre_pressure_in_psi,iRacing 轮胎压力调整（PSI）,iRacing tyre pressure adjustments in PSI
preferences,spotter_volume_boost,观察员音量增强（范围）,Spotter volume boost (scale)
preferences,manual_formation_double_file,手动编队圈双列起步,Manual formation lap double-file start
preferences,manual_formation_split_classes,手动编队圈分隔级别,Manual formation lap separate classes
preferences,save_list_of_unvocalized_names,保存无语音的车手名,Save driver names with no sound
preferences,enable_ams_blue_on_slower,启用 AMS / rF1 落后时蓝旗,Enable AMS / rF1 blue on slower
preferences,enable_rants,启用吐槽,Enable rants
preferences,spotter_oval_clear_delay,观察员椭圆赛道安全判定延迟,Spotter oval clear delay
preferences,use_naudio_for_speech_recognition,使用 nAudio 进行语音输入,Use nAudio for speech input
preferences,enable_rf2_pit_state_during_fcy,启用 rF2 全场黄旗进站播报,Enable rF2 FCY pit state messages
preferences,enable_lmu_pit_state_during_fcy,启用 LMU 全场黄旗进站播报,Enable LMU FCY pit state messages
preferences,enable_ams_pit_state_during_fcy,启用 AMS / rF1 全场黄旗进站播报,Enable AMS / rF1 FCY pit state messages
preferences,bring_game_window_to_front_for_macros,确保游戏窗口位于顶层以执行语音命令宏,Ensure game is on top for voice command macros
preferences,report_all_laps_in_hotlap_mode,计时赛/单人练习时播报所有圈数,Report all laps when hotlapping/lone practice
preferences,enable_crash_messages,启用碰撞播报,Enable crash messages
preferences,force_single_class,强制单一车辆组别,Force single car class
preferences,force_min_window_size,强制最小窗口大小,Force minimum window size
preferences,pit_box_position_countdown,维修位距离倒计时,Pit box distance countdown
preferences,pit_box_time_countdown,维修位时间倒计时,Pit box time countdown
preferences,pit_box_time_countdown_end_position,维修位计时结束位置（米）,Pit box time countdown end point (metres)
preferences,pit_box_position_countdown_in_feet,维修位距离倒计时（英尺）,Pit box distance countdown in feet
preferences,enable_multiclass_messages,启用多级别播报,Enable multi-class messages
preferences,target_warning_time_for_slower_class_car,多级别慢车提醒时间,Multi-class slower car warning time
preferences,target_warning_time_for_faster_class_car,多级别更快车辆提醒时间,Multi-class faster car warning time
preferences,max_unknown_car_classes_for_assetto,ACS 多级别赛事中的未知车辆型号最大数量,Max unknown car models in ACS multi-class races
preferences,iracing_fast_parsing,iRacing 快速解析器,iRacing faster parser
preferences,crewchief_record_trace_checkbox,显示记录文件复选框,Make the trace recording checkbox visible
preferences,trace_race_sessions_only,仅记录正赛,Trace race sessions only
preferences,enable_iracing_pit_stop_commands,启用 iRacing 进站语音指令,Enable iRacing pit stop voice commands
preferences,add_additional_fuel,(LEGACY) 为完成比赛需添加的额外燃油（圈数）,(LEGACY) Additional fuel to add to finish the race (number of laps worth)
preferences,legacy_fuel,传统燃油计算,Legacy fuel calculation
preferences,fuel_saving_percentage,燃油：节省目标（百分比）,Fuel: saving target (percentage)
preferences,fuel_percentile,燃油：百分位（公路赛道）,Fuel: percentile (road)
preferences,fuel_percentile_oval,燃油：百分位（椭圆赛道）,Fuel: percentile (oval)
preferences,fuel_reserve_laps_short,燃油：额外圈数（短赛道）,Fuel: extra laps (short tracks)
preferences,fuel_reserve_laps_medium,燃油：额外圈数（中型赛道）,Fuel: extra laps (medium tracks)
preferences,fuel_reserve_laps_long,燃油：额外圈数（长赛道）,Fuel: extra laps (long tracks)
preferences,fuel_extra_laps_oval,燃油：额外圈数（椭圆赛道）,Fuel: extra laps (oval tracks)
preferences,fuel_extra_laps_endurance,燃油：额外圈数（耐力赛）,Fuel: extra laps (endurance races)
preferences,fuel_experimental_lap_estimator_multiclass,燃油：多级别进站时间（实验性）,Fuel: multiclass pitstop times (Experimental)
preferences,iracing_invalidate_cut_track_laps,iRacing 切赛道圈数无效,iRacing Invalidate cut track Laps
preferences,enable_pit_exit_position_estimates,启用出维修道位置估计,Enable pit exit position estimates
preferences,enable_opponent_pit_exit_estimates,启用对手出维修道估计,Enable opponent pit exit estimates
preferences,enable_delayed_messages_on_hardparts,在赛道难点处延迟播报,Delay messages on hard parts
preferences,toggle_delay_messages_in_hard_parts,切换赛道难点处延迟播报,Toggle delay messages on hard parts
preferences,iracing_enable_auto_fuel_to_end_of_race,启用在比赛中进入维修区时 iRacing 自动加油,Enable iRacing auto refuelling when entering pit in race
preferences,rf2_enable_auto_fuel_to_end_of_race,启用 rF2 自动加油（进站时）,Enable rF2 auto refuelling when entering pit in race
preferences,rf2_enable_pit_manager,启用 rF2 进站管理,Enable rF2 pit manager
preferences,rf2_enable_auto_clear_tyre_change,启用 rF2 自动清除轮胎更换,Enable rF2 auto clear tyre change
preferences,lmu_enable_auto_fuel_to_end_of_race,启用 LMU 自动加油（在比赛进站时）,Enable LMU auto refuelling when entering pit in race
preferences,lmu_enable_pit_manager,启用 LMU 维修道管理,Enable LMU pit manager
preferences,priortise_messages_depending_on_situation,高级播报优先级,Advanced message prioritisation
preferences,trigger_word_for_always_on_sre,语音识别触发词,Speech recogniser trigger word
preferences,interrupt_setting_listprop,中断常规播报,Interrupt regular messages
preferences,interrupt_setting_listprop_value_0,从不,Never
preferences,interrupt_setting_listprop_value_1,仅观察员,Spotter only
preferences,interrupt_setting_listprop_value_2,仅观察员和关键播报,Spotter and critical messages only
